National	Software Engineer	$86,563 	1.80%
National	Programmer Analyst	$69,129 	0.50%
National	Consultant	$73,408 	1.80%
National	Project Manager	$72,583 	-0.60%
National	Store Manager	$48,920 	1.80%
National	Business Analyst	$65,004 	0.70%
National	Cashier	$28,017 	4.90%
National	Financial Analyst	$63,367 	2.10%
National	Administrative Assistant	$39,430 	1.90%
National	Accountant	$56,398 	2.40%
National	Sales Representative	$47,542 	1.00%
National	Professor	$87,664 	-0.10%
National	Registered Nurse	$67,222 	1.30%
National	Marketing Manager	$68,526 	1.40%
National	Operations Manager	$67,502 	0.40%
National	Product Manager	$92,843 	2.20%
National	Sales Manager	$62,233 	2.40%
National	Teacher	$46,746 	2.80%
National	Bank Teller	$31,108 	8.10%
National	Customer Service Manager	$55,717 	3.10%
National	Physical Therapist	$72,080 	-2.30%
National	Mechanical Engineer	$74,739 	3.00%
National	Recruiter	$51,640 	1.90%
National	Design Engineer	$72,261 	5.50%
National	Pharmacy Technician	$30,780 	2.30%
National	Graphic Designer	$45,346 	2.80%
National	Web Developer	$66,558 	4.20%
National	Business Development Manager	$69,493 	4.30%
National	Data Scientist	$94,912 	-0.20%
National	Buyer	$58,369 	2.30%
National	Data Analyst	$60,374 	1.90%
National	Electrical Engineer	$77,717 	1.60%
National	Attorney	$98,208 	1.70%
National	Human Resources Manager	$68,388 	1.70%
National	Technician	$46,112 	1.90%
National	Restaurant Cook	$28,681 	1.20%
National	Production Manager	$66,225 	2.10%
National	Manufacturing Engineer	$71,813 	0.50%
National	Retail Key Holder	$29,746 	4.90%
National	Paralegal	$48,667 	1.50%
National	Java Developer	$77,096 	5.00%
National	Warehouse Associate	$43,961 	6.80%
National	Property Manager	$50,923 	4.30%
National	Producer	$51,702 	-2.20%
National	Quality Engineer	$72,798 	1.30%
National	Operations Analyst	$54,226 	3.20%
National	Medical Assistant	$35,017 	4.50%
National	Tax Manager	$97,213 	5.10%
National	Technical Editor	$54,556 	1.60%
National	Truck Driver	$54,659 	7.30%
National	Insurance Agent	$42,112 	1.50%
National	Medical Technologist	$54,224 	2.30%
National	Field Engineer	$70,723 	2.10%
National	Machine Operator	$38,464 	1.70%
National	Communications Manager	$66,321 	-0.70%
National	Construction Laborer	$39,857 	2.90%
National	Emergency Medical Technician	$34,665 	2.50%
National	Web Designer	$50,738 	-0.80%
National	Maintenance Worker	$42,846 	1.40%
National	Barista	$24,358 	3.50%
National	Bartender	$33,499 	4.60%
National	Civil Engineer	$67,899 	0.90%
National	Claims Adjuster	$53,669 	3.60%
National	Certified Nursing Assistant	$29,030 	3.60%
National	Customer Service Representative	$37,029 	2.30%
National	Delivery Driver	$38,594 	2.00%
National	Financial Advisor	$54,577 	4.60%
National	Licensed Practical Nurse	$42,416 	2.40%
National	Loan Officer	$43,988 	-3.30%
National	Maintenance Technician	$45,133 	3.50%
National	Material Handler	$36,179 	5.10%
National	Network Engineer	$66,257 	-3.70%
National	Office Manager	$46,300 	1.60%
National	Pharmacist	$128,311 	3.00%
National	Process Engineer	$77,839 	0.30%
National	Program Manager	$75,711 	0.80%
National	Research Assistant	$30,580 	0.00%
National	Restaurant Manager	$49,964 	1.60%
National	Security Officer	$35,554 	4.70%
National	Server	$33,747 	2.60%
National	Solutions Architect	$105,070 	4.10%
National	Systems Engineer	$79,432 	1.90%
National	Technical Support	$45,997 	3.00%
National	UX Designer	$77,134 	-0.10%
Atlanta	Software Engineer	$84,577 	1.80%
Atlanta	Programmer Analyst	$73,849 	0.50%
Atlanta	Consultant	$84,297 	1.70%
Atlanta	Project Manager	$77,206 	-0.60%
Atlanta	Store Manager	$51,320 	1.70%
Atlanta	Business Analyst	$72,012 	0.70%
Atlanta	Cashier	$26,676 	4.80%
Atlanta	Financial Analyst	$65,260 	2.10%
Atlanta	Administrative Assistant	$40,858 	1.80%
Atlanta	Accountant	$57,276 	2.40%
Atlanta	Sales Representative	$50,823 	1.00%
Atlanta	Professor	$89,998 	-0.20%
Atlanta	Registered Nurse	$65,816 	1.20%
Atlanta	Marketing Manager	$76,130 	1.40%
Atlanta	Operations Manager	$70,958 	0.30%
Atlanta	Product Manager	$99,949 	2.20%
Atlanta	Sales Manager	$66,961 	2.30%
Atlanta	Teacher	$48,581 	2.80%
Atlanta	Bank Teller	$32,316 	8.00%
Atlanta	Customer Service Manager	$57,276 	3.10%
Atlanta	Physical Therapist	$73,022 	-2.40%
Atlanta	Mechanical Engineer	$73,872 	3.00%
Atlanta	Recruiter	$53,263 	1.90%
Atlanta	Design Engineer	$72,947 	5.40%
Atlanta	Pharmacy Technician	$29,460 	2.30%
Atlanta	Graphic Designer	$51,056 	2.80%
Atlanta	Web Developer	$77,129 	4.10%
Atlanta	Business Development Manager	$75,202 	4.20%
Atlanta	Data Scientist	$98,512 	-0.30%
Atlanta	Buyer	$58,833 	2.20%
Atlanta	Data Analyst	$65,350 	1.90%
Atlanta	Electrical Engineer	$76,933 	1.50%
Atlanta	Attorney	$104,408 	1.60%
Atlanta	Human Resources Manager	$74,705 	1.70%
Atlanta	Technician	$46,011 	1.90%
Atlanta	Restaurant Cook	$27,095 	1.20%
Atlanta	Production Manager	$67,584 	2.10%
